age,sex,race,marital_status,education,employment,income,books_read_count,read_print_raw,read_audio_raw,read_ebook_raw,last_book_source,read_news,read_magazines,read_print,read_audio,read_ebook,reader_segment,is_digital_adopter
33,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,1,0,1,Hybrid,1
32,Female,White,Married,High school graduate,Not employed for pay,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,No,1,0,0,Print-only,0
32,Female,White,Married,Post-graduate training/professional school after college,Employed full-time,"$75,000 to under $100,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
32,Female,White,Never been married,Post-graduate training/professional school after college,Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
30,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,No,Yes,1,0,1,Hybrid,1
29,Female,White,Married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,No,1,1,1,Hybrid,1
28,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,1,1,1,Hybrid,1
28,Male,White,Married,High school incomplete,Employed full-time,"$40,000 to under $50,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
27,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",97,Yes,No,No,Purchased the book,Yes,Yes,1,0,0,Print-only,0
26,Male,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$10,000 to under $20,000",97,Yes,No,No,Purchased the book,No,No,1,0,0,Print-only,0
25,Male,White,Never been married,Post-graduate training/professional school after college,Employed part-time,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
24,Female,White,Never been married,High school graduate,Not employed for pay,"9$100,000 to under $150,000",97,Yes,No,No,Purchased the book,No,Yes,1,0,0,Print-only,0
24,Female,White,Never been married,College graduate,Employed full-time,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,No,No,1,0,1,Hybrid,1
23,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"Less than $10,000",97,Yes,Yes,No,Purchased the book,No,No,1,1,0,Hybrid,1
23,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a friend or family member,No,Yes,1,0,0,Print-only,0
22,Male,White,Married,"Technical, trade or vocational school AFTER high school",Employed full-time,"$10,000 to under $20,000",97,Yes,No,Yes,Purchased the book,Yes,Yes,1,0,1,Hybrid,1
